English,Magyar
cousin,unokatestvér
trial,tárgyalás/próba
emergency,vészhelyzet/sürgősség
ought,kellene
somehow,valahogy
hearing,hallás/meghallgatás
states,államok/kijelenti
account,számla/beszámoló
spoke,beszélt
file,fájl/akta
understood,értette/megértette
angel,angyal
tape,szalag/kazetta
milk,tej
powerful,erőteljes/hatalmas
weapons,fegyverek
practice,gyakorlat/gyakorol
manager,menedzser/igazgató
pardon,bocsánat/kegyelem
vote,szavazat/szavaz
national,nemzeti/országos
career,karrier/pálya
minister,miniszter
super,szuper/kiváló
taught,tanított
biggest,legnagyobb
plays,játszik/darabok
natural,természetes
dancing,tánc/táncol
copy,másolat/másol
plus,plusz
cake,torta/sütemény
freedom,szabadság
among,között/közt
breath,lélegzet
operation,művelet/operáció
crew,legénység/stáb
challenge,kihívás/kihív
market,piac
meat,hús
towards,felé/irányában
bringing,hoz
dropped,ejtett/leesett
student,diák/tanuló
lied,hazudott
strength,erő
size,méret/nagyság
breathe,lélegzik
color,szín
monster,szörny/szörnyeteg
loud,hangos
photo,fotó/fénykép
aw,ó/jaj
nearly,majdnem/csaknem
sight,látvány/látás
greatest,legnagyobb/legjobb
games,játékok
bridge,híd
dressed,öltözött
arrested,letartóztatott
horrible,borzalmas/szörnyű
coach,edző/kocsi
planning,tervez/tervezés
checked,ellenőrzött
breaking,tör/törés
noticed,észrevett
fantastic,fantasztikus
screams,sikolt/sikoltozik
serve,szolgál/felszolgál
ideas,ötletek/elképzelések
investigation,nyomozás/vizsgálat
center,központ/közepe
older,idősebb/öregebb
pack,csomag/pakol
soldiers,katonák
nonsense,nonszensz/ostobaság
doc,doki/doktor
project,projekt/tervez
training,képzés/edzés
example,példa
trick,trükk/csel
prepared,felkészült/készített
science,tudomány
united,egyesült
travel,utazik/utazás
incredible,hihetetlen
grandpa,nagypapa/nagyapa
paying,fizet/fizetés
character,karakter/szereplő
teeth,fogak
criminal,bűnöző
truly,valóban/igazán
honestly,őszintén
bro,tesó/haver
survive,túlél
target,cél/célpont
feed,etet/táplál
nurse,nővér/ápoló
fake,hamis/színlelt
records,felvételek/nyilvántartás
breathing,lélegzik/lélegzet
sweetie,édesem/drágám
numbers,számok
oil,olaj
suicide,öngyilkosság
belong,tartozik
whoo,hú/tyű
perfectly,tökéletesen
forgotten,elfelejtett/elfeledett
remain,marad
original,eredeti
papa,papa
onto,rá/-ra/-re
concerned,aggódik/érintett
credit,hitel/elismerés
ugh,pfuj/ó
invited,meghívott
discuss,megvitat/megbeszél
research,kutatás/kutat
easier,könnyebb
view,nézet/kilátás
chair,szék
hurts,fáj/sért
strike,sztrájk/üt
fill,tölt/kitölt
condition,állapot/feltétel
mountain,hegy
dr,doktor (rövidítés)
nowhere,sehol
sheriff,seriff
turning,fordul/fordulás
brown,barna
recognize,felismer
heads,fejek/vezet
audience,közönség/publikum
jealous,féltékeny/irigy
pretend,színlel/tettet
society,társadalom
finding,találás/megtalálás
shirt,ing
comfortable,kényelmes
meaning,jelentés
guest,vendég
pieces,darabok/részek
dry,száraz/szárít
letting,enged
began,kezdett
aye,igenis/igen
female,női/nőstény
release,felszabadít/kiadás
ho,hó/hahó
cards,kártyák
pray,imádkozik
unfortunately,sajnos/sajnálatos módon
balls,golyók/labdák
destroyed,elpusztított/lerombolt
ended,véget ért/befejezett
universe,univerzum/világegyetem
prepare,készít/felkészül
opinion,vélemény
movies,filmek
soldier,katona
wash,mos
program,program
heat,hő/hőség
usual,szokásos
ticket,jegy
stolen,lopott/ellopott
prefer,jobban szeret/előnyben részesít
aware,tudatában/tisztában
surely,biztosan/bizonyára
male,férfi/hím
base,bázis/alap
matters,ügyek/számít
lift,emel/felvonó
lab,labor/laboratórium
command,parancs/parancsnokság
proof,bizonyíték
cream,krém/tejszín
selling,elad/árusít
believed,hitt
create,teremt/létrehoz
h,h (betű/hang)
afford,megenged/engedhet
sunday,vasárnap
total,teljes/összes
dumb,néma/buta
threw,dobott/hajított
birth,születés
created,létrehozott
realized,rájött/megvalósított
noise,zaj
nuts,diók/őrült
students,diákok/tanulók
birds,madarak
social,társadalmi/szociális
brilliant,ragyogó/zseniális
bodies,testek/holttestek
tie,nyakkendő/köt
opened,kinyitott/megnyitott
ours,a miénk
bucks,dollárok/bakok
mister,úr/mister
ugly,csúnya/rút
focus,fókusz/összpontosít
opens,kinyit/megnyit
exist,létezik
followed,követte
draw,rajzol/húz
purpose,cél/célzat
letters,levelek/betűk
opening,nyitás/megnyitó
bullet,golyó
lately,mostanában/újabban
stayed,maradt
falling,esik/zuhanás
season,évszak/szezon
ends,végek/végződik
suggest,javasol
joy,öröm
distance,távolság
responsibility,felelősség
whenever,bármikor/amikor csak
issue,ügy/probléma
thousands,ezrek
process,folyamat/feldolgoz
sword,kard
shower,zuhany/zuhanyozik
weak,gyenge
fucked,elbaszott/elrontott
lonely,magányos
happiness,boldogság
tiny,pici/apró
desk,íróasztal
pool,medence/biliárd
property,tulajdon/ingatlan
forced,kényszerített
settle,megállapodik/letelepszik
indistinct,elmosódott/homályos
weight,súly
received,kapott/fogadott
gang,banda/geng
bite,harap/harapás
friday,péntek
disappeared,eltűnt
interview,interjú/interjúvol
expecting,vár/elvár
kinda,fajtája/típusa (rövidítés)
surgery,műtét/sebészet
horses,lovak
mayor,polgármester
babe,bébi/csaj
ancient,ősi/ókori
handsome,jóképű/szép
saturday,szombat
staff,személyzet/stáb
lines,sorok/vonalak
unit,egység
fan,rajongó/ventillátor
gentleman,úriember
introduce,bemutat
fate,sors
split,hasít/feloszt
recently,nemrég/mostanában
expected,várt/elvárta
add,hozzáad
ordered,rendelt/parancsolt
slowly,lassan
alarm,riasztó/vészjelzés
member,tag
slept,aludt
signed,aláírt
enter,belép/belépni
garden,kert
brings,hoz
brave,bátor
pig,disznó/malac
model,modell/manöken
finger,ujj
medicine,orvosság/orvostudomány
access,hozzáférés
failed,kudarcot vallott/megbukott
flat,lapos/lakás
easily,könnyen
discovered,felfedezte
based,alapozott/székhelye
screw,csavar/elront
insane,őrült/bolond
cares,törődik/gondoskodik
weather,időjárás
fingers,ujjak
path,ösvény/út
soft,puha/lágy
harm,ártalom/árt
style,stílus
community,közösség
sees,lát
basically,alapvetően
signal,jelzés/jel
nope,nem (köznyelvi)
spare,tartalék/megkímél
speech,beszéd
covered,fedett/borított
shake,ráz/rázás
loose,laza/lógó
snow,hó
lake,tó
bright,fényes/ragyogó
roof,tető
ohh,óóó/ó
sending,küld
paint,fest/festék
remind,emlékeztet
pal,haver/cimbora
naked,meztelen
post,posta/poszt
sugar,cukor
heading,irány/cím
streets,utcák
damage,kár/károsít
silence,csend
doors,ajtók
success,siker
wet,nedves
nah,nem/nah
amount,összeg/mennyiség
members,tagok
manage,kezel/irányít
safety,biztonság
returned,visszatért
harder,nehezebb/keményebb
fbi,FBI
block,tömb/blokkol
showing,mutat/vetítés
fancy,díszes/tetszik
chef,szakács/séf
contract,szerződés
dig,ás
chest,mellkas/láda
good-bye,viszlát/búcsú
drinks,italok/iszik
buried,eltemette
trade,kereskedelem/kereskedik
journey,utazás
stomach,gyomor/has
changes,változások/változtat
details,részletek
thoughts,gondolatok
divorce,válás
funeral,temetés
football,futball/amerikai futball
reality,valóság
theory,elmélet
gosh,istenem/ejha
ruined,tönkretett/romlott
gate,kapu
spread,terjeszt/terül
outta,ki/ból (rövidítés)
sudden,hirtelen/váratlan
coat,kabát
sooner,előbb/hamarabb
cheese,sajt
spring,tavasz/rugó
page,oldal/lap
ears,fülek
castle,kastély/vár
hidden,rejtett/elrejtett
storm,vihar
personally,személyesen
artist,művész
hill,domb
exciting,izgalmas
permission,engedély
expensive,drága
tickets,jegyek
forest,erdő
barely,alig/éppen
eggs,tojások
goin,megy (rövidítés)
regret,megbán/sajnál
lesson,lecke/tanulság
lover,szerető
bread,kenyér
subject,tantárgy/téma
legal,jogszerű/törvényes
growing,nő/növekvő
ill,beteg/rosszul
mood,hangulat/kedély
owner,tulajdonos
caused,okozott
beeping,csipog/sípol
points,pontok/mutat
dating,randevúzik/randevú
loss,veszteség
secretary,titkár/titkárnő
revenge,bosszú
likely,valószínű/valószínűleg
rent,bérlet/bérel
connection,kapcsolat
assistant,asszisztens/segéd
reasons,okok/indokok
yelling,kiabál
painting,festmény/festés
trees,fák
doctors,orvosok
rush,rohan/sietség
foreign,külföldi/idegen
rough,durva/érdes
murderer,gyilkos
century,évszázad/század
nights,éjszakák
pair,pár
runs,fut/futások
pocket,zseb
farm,gazdaság/farm
bike,bicikli/kerékpár
obvious,nyilvánvaló/egyértelmű
ate,evett
grew,nőtt/növekedett
professional,professzionális/szakember
goodness,jóság
parts,részek/alkatrészek
university,egyetem
square,négyzet/tér
grandfather,nagyapa
genius,zseni
cases,esetek/ügyek
ruin,rom/tönkretesz
winter,tél
tongue,nyelv
memories,emlékek
da,da (hang/rövidítés)
buying,vásárol/vásárlás
cancer,rák
ocean,óceán
dna,DNS
liar,hazug
tour,túra/körút
thief,tolvaj
bleep,sípol/cenzúra
rights,jogok
including,beleértve
competition,verseny/konkurencia
planned,tervezett
boring,unalmas
victims,áldozatok
mentioned,említett
bones,csontok
plant,növény/üzem
bless,megáld
warning,figyelmeztetés/óva int
knocking,kopog/kopogtat
crash,baleset/összeomlás
bedroom,hálószoba
lower,alsó/alacsonyabb
silver,ezüst
groaning,nyög/nyögés
madame,hölgyem/madame
defense,védelem
results,eredmények
toilet,vécé/toalett
event,esemény/rendezvény
complicated,bonyolult/komplikált
shape,alak/forma
priest,pap
royal,királyi
cheap,olcsó
romantic,romantikus
downstairs,lent/földszinten
invite,meghív
fortune,vagyon/szerencse
tears,könnyek
avoid,elkerül
reached,elért
higher,magasabb
familiar,ismerős
telephone,telefon
burning,ég/égés
filled,töltött/megtöltött
airport,repülőtér
jobs,állások/munkák
grown,nőtt/felnőtt
giant,óriás
insurance,biztosítás
woods,erdő/erdők
scare,ijeszt/rémület
pleased,elégedett/örül
period,időszak/pont
political,politikai
player,játékos
stops,megáll/leállít
secrets,titkok
repeat,megismétel
photos,fotók
finds,talál/megtalál
statement,nyilatkozat/kijelentés
suck,szív/szar
younger,fiatalabb
humans,emberek
delicious,finom/ínycsiklandó
particular,különleges/sajátos
proper,megfelelő/helyes
belongs,tartozik
attacked,megtámadta
bath,fürdő
hired,felvett/bérelt
site,hely/oldal
knowledge,tudás/ismeret
led,vezetett
guests,vendégek
celebrate,ünnepel
map,térkép
horn,kürt/duda
eventually,végül/idővel
pity,kár/szánalom
powers,hatalmak/erők
ashamed,szégyelli magát
assume,feltételez
glasses,szemüveg/poharak
rise,emelkedik/felkel
fixed,rögzített/megjavított
request,kérés/kérelem
officers,tisztek/rendőrök
pounds,fontok
data,adat/adatok
carefully,óvatosan/gondosan
per,per/szerint
depends,függ/attól függ
jury,esküdtszék
waited,várt
positive,pozitív
attorney,ügyvéd
direction,irány
families,családok
doin,csinál (rövidítés)
forces,erők
location,helyszín/hely
walls,falak
useless,haszontalan
grant,támogatás/engedélyez
saving,megtakarítás/mentés
speaks,beszél
fought,harcolt
meal,étkezés/étel
deliver,szállít/kézbesít
answers,válaszok/válaszol
changing,változik/változtat
temple,templom
scary,ijesztő
millions,milliók
offered,felajánlott
regular,rendszeres/szokásos
carrying,hord/visz
official,hivatalos
jacket,dzseki/kabát
switch,kapcsoló/vált
grave,sír/komoly
chase,üldöz/üldözés
role,szerep
odd,furcsa/páratlan
sexy,szexi
faces,arcok/néz
becomes,lesz/válik
closes,bezár
badly,rosszul
tall,magas
confused,zavart/összezavart
affair,ügy/viszony
television,televízió
shock,sokk/megrázkódtatás
raised,felemelt/nevelt
panting,liheg/zihál
pizza,pizza
image,kép/imázs
clears,tisztáz/kitisztul
golden,arany/aranyszínű
patients,betegek/páciensek
watched,figyelte/nézte
committed,elkövetett/elkötelezett
sexual,szexuális
suffer,szenved
wherever,bárhol/akárhol
plate,tányér/lemez
appear,megjelenik/látszik
chocolate,csokoládé
clever,okos/ügyes
hm,hm
mercy,kegyelem/irgalom
shots,lövések/snapszok
dealing,kezel/foglalkozik
trap,csapda
charges,vádak/díjak
bang,bumm/durran
poison,méreg
butt,fenék/segg
drove,vezetett/hajtott
yourselves,magatokat/önmagukat
headed,vezette/irányult
babies,babák/kisbabák
yellow,sárga
soup,leves
mystery,rejtély/misztérium
picking,szed/választ
sat,ült
wound,seb/tekercs
traffic,forgalom
courage,bátorság
hunt,vadászat/vadászik
indian,indiai/indián
rat,patkány
terms,feltételek/kifejezések
checking,ellenőriz
disease,betegség
managed,sikerült/irányította
winner,győztes/nyertes
council,tanács
appointment,találkozó/kinevezés
monday,hétfő
crack,repedés/repeszt
threat,fenyegetés
physical,fizikai/testi
nation,nemzet
source,forrás
chose,választott
healthy,egészséges
victory,győzelem
stood,állt
kicked,rúgott
disgusting,undorító
palace,palota
below,alatt/alul
shopping,vásárlás/bevásárlás
neighborhood,környék/szomszédság
march,március/menetel
lips,ajkak
midnight,éjfél
piss,húgy/pisál
advantage,előny
pure,tiszta
aside,félre/mellé
jerk,idióta/rántás
mail,posta/levél
dawn,hajnal
effect,hatás/effektus
spell,varázs/varázsige
freak,fura alak/őrült
wood,fa/erdő
screwed,csavaros/elbaszott
enemies,ellenségek
awake,ébren
chuckling,kuncog
vacation,szabadság/vakáció
violence,erőszak
grandmother,nagymama
modern,modern
firm,cég/szilárd
prime,fő/elsőrangú
heh,heh
touched,megérintett/meghatott
talent,tehetség
whore,kurva
piano,zongora
license,engedély/jogosítvány
cooking,főzés
honour,megtiszteltetés/becsület
concern,aggodalom/érint
moves,mozdul/lépések
available,elérhető/kapható
factory,gyár
gods,istenek
value,érték
central,központi
union,unió/szakszervezet
mirror,tükör
studio,stúdió
media,média
taxi,taxi
dies,meghal
iron,vas/vasaló
hearts,szívek
desire,vágy/kíván
songs,dalok
monkey,majom
pride,büszkeség
pills,tabletták/pirulák
miracle,csoda
swim,úszik/úszás
burned,égett/leégett
smells,szagol/szagok
joking,viccel/tréfál
bleeding,vérzik
hook,kampó/horog
beating,ver/verés
protection,védelem
treatment,kezelés
ear,fül
metal,fém
disappear,eltűnik
grateful,hálás
extremely,rendkívül/extrém
treasure,kincs
rescue,mentés/megment
capable,képes
passing,áthalad/elmúló
chatter,cseveg/fecseg
result,eredmény
suffering,szenvedés
sisters,nővérek/lánytestvérek
laid,lefektetett/helyezett
governor,kormányzó
guards,őrök/védők
text,szöveg
literally,szó szerint/szó szerinti
remove,eltávolít
becoming,lesz/válik
performance,teljesítmény/előadás
stronger,erősebb
rate,arány/díjszabás
deeply,mélyen
scream,sikolt/sikítás
desert,sivatag/elhagy
vehicle,jármű
illegal,illegális/törvénytelen
pulling,húz
throwing,dob/dobás
unbelievable,hihetetlen
zero,nulla
curious,kíváncsi
candy,cukorka/édesség
bone,csont
tied,kötött/megkötött
edge,él/szél
load,teher/tölt
ahh,áá/ó
mountains,hegyek
boom,bumm/fellendülés
former,korábbi/volt
holiday,ünnep/szabadság
riding,lovagol/utazik
scoffs,gúnyolódik
hundreds,százak
motherfucker,köcsög/anyaszomorító
bags,táskák/zsákok
stealing,lop
appears,megjelenik/látszik
arrive,megérkezik
remains,marad/maradványok
decent,rendes/tisztességes
issues,ügyek/kiadások
tip,borravaló/tipp
fail,kudarcot vall/bukik
bride,menyasszony
pissed,ideges/részeg
claim,követel/állít
friendship,barátság
desperate,kétségbeesett
flower,virág
dramatic,drámai
refuse,visszautasít/elutasít
solve,megold
theme,téma/motívum
loving,szerető
properly,megfelelően/rendesen
dragon,sárkány
mostly,főleg/többnyire
directly,közvetlenül
surface,felület/felszín
FALSE,hamis
cast,öntvény/szereplőgárda
junior,fiatalabb/ifjabb
hunting,vadászat
silent,néma/csendes
thou,te (régi angol)
egg,tojás
germany,Németország
punch,ütés/boksz
africa,Afrika
woke,felébredt/éber
intelligence,intelligencia/hírszerzés
borrow,kölcsönöz/kölcsönkér
winning,győz/nyerés
falls,esik/zuhanások
popular,népszerű
escaped,megszökött
witch,boszorkány
convinced,meggyőzte
warn,figyelmeztet
announcer,bemondó/közlő
champagne,pezsgő
dust,por
someday,valamikor
fallen,esett/elesett
stranger,idegen/ismeretlen
presence,jelenlét
tear,könny/szakít
st.,szent/utca (rövidítés)
internet,internet
monsieur,uram (francia)
therefore,ezért
technology,technológia
tires,fárad/gumiabroncsok
toast,pirítós/koccintás
wise,bölcs
notes,jegyzetek/jegyzetek
smoking,dohányzik/füstölés
ls,ls (rövidítés)
april,április
wolf,farkas
precious,drága/értékes
rooms,szobák
coast,part/tengerpart
treated,kezelt/bántak vele
material,anyag/materiális
released,kiadott/elengedett
uniform,egyenruha/egyforma
hated,utált/gyűlölt
considered,fontolgatta/tekintetett
rice,rizs
exchange,csere/váltás
steps,lépések
convince,meggyőz
beast,vadállat/fenevad
cow,tehén
files,fájlok/akták
signs,jelek/táblák
drag,húz/vonszol
cab,taxi
hung,függött/akasztott
carried,vitt/hordott
ordinary,hétköznapi/közönséges
successful,sikeres
mistakes,hibák/tévedések
houses,házak
chattering,fecseg/csacsog
brains,agyak
creature,teremtmény/lény
fourth,negyedik
separate,külön/szétválaszt
cleaning,takarít/takarítás
shift,műszak/vált
exact,pontos
goal,cél/gól
expert,szakértő
served,szolgált/kiszolgált
direct,közvetlen/irányít
score,eredmény/pontszám
row,sor
marks,jelek/nyomok
twenty,húsz
receive,kap/fogad
series,sorozat
section,rész/szakasz
pilot,pilóta
darkness,sötétség
thy,a te (régi angol)
sale,árusítás/kiárusítás
destiny,sors/végzet
cure,gyógyít/gyógymód
spoken,beszélt/kimondott
armed,fegyveres
rare,ritka
grade,osztály/fokozat
juice,gyümölcslé/lé
wide,széles
tower,torony
solution,megoldás
schedule,menetrend/ütemterv
explosion,robbanás
wheel,kerék
cigarette,cigaretta
fruit,gyümölcs
blew,fújt
talks,beszél/beszélgetések
sacrifice,áldozat/feláldoz
range,tartomány/hatótávolság
button,gomb
reports,jelentések/jelent
prisoner,fogoly
pie,pite/torta
effort,erőfeszítés
youth,ifjúság/fiatalság
pot,fazék/edény
eaten,evett
knees,térdek
garage,garázs
parking,parkolás
ambulance,mentőautó
staring,bámul
chances,esélyek
circumstances,körülmények
sin,bűn
progress,haladás/fejlődés
unusual,szokatlan
county,megye
stairs,lépcső
campaign,kampány/hadjárat
vision,látás/vízió
reporter,riporter/tudósító
equipment,felszerelés
moments,pillanatok
mass,tömeg/mise
alien,földönkívüli/idegen
trapped,csapdába esett/beszorult
helps,segít
route,útvonal
defend,véd/megvéd
trace,nyom/felkutat
nasty,csúnya/gonosz
tests,tesztek/vizsgák
magazine,magazin/folyóirat
rocks,sziklák/kövek
dump,szeméttelep/kidob
rude,goromba/durva
searching,keres
clue,nyom/kulcs
connected,kapcsolt/összekötött
amen,ámen
pushed,tolt/lökött
merry,vidám/kellemes
zone,zóna/övezet
senior,idősebb/felettes
closing,záró/bezárás
freeze,fagy/befagy
emperor,császár
incident,incidens/esemény
snake,kígyó
actor,színész
newspaper,újság
sentence,mondat/ítélet
leading,vezető/vezetés
friendly,barátságos
chosen,választott/kiválasztott
engaged,eljegyzett/elfoglalt
charming,bájos/elbűvölő
mustn,nem szabad (rövidítés)
anger,harag/düh
spending,költés/töltés
learning,tanulás
spy,kém/kémkedik
sharp,éles
shadow,árnyék
warrant,parancs/igazolás
elevator,lift/felvonó
kingdom,királyság
squad,osztag/csapat
shoulder,váll
wave,hullám/integet
highness,fenség
kinds,fajták/típusok
fishing,halászat/horgászat
sometime,valamikor
attitude,hozzáállás/attitűd
sucks,szív/szar
negative,negatív
screen,képernyő/ernyő
workers,munkások/dolgozók
bored,unatkozik/unalmas
cameras,kamerák/fényképezőgépek
similar,hasonló
understanding,megértés/megértő
beeps,csipog/sípolás
chain,lánc
bull,bika
gasping,zihál/kapkod
fully,teljesen
collect,gyűjt/összeszed
gorgeous,gyönyörű/káprázatos
passion,szenvedély
writer,író
empire,birodalom
international,nemzetközi
curse,átok/káromkodik
hire,bérel/felvesz
bastards,rohadékok/fattyak
puts,tesz/helyez
leads,vezet/vezetőszárak
id,azonosító/id
blows,fúj/ütések
sons,fiak
estate,birtok/ingatlan
customers,vásárlók/ügyfelek
gunshot,lövés/fegyverropogás
i-,én- (dadogás)
device,eszköz/készülék
troops,csapatok
hug,ölelés/megölel
design,tervezés/mintázat
movement,mozgás/mozgalom
thunder,mennydörgés/villám
object,tárgy/kifogásol
loser,vesztes
pen,toll/karám
sobbing,zokogás
politics,politika
despite,annak ellenére
alcohol,alkohol
climb,mászik/megmászik
clients,ügyfelek/kliensek
conference,konferencia/tanácskozás
provide,biztosít/nyújt
seek,keres/kutat
witnesses,tanúk
earn,keres/megkeres
trash,szemét/hulladék
valley,völgy
fashion,divat
episode,epizód/rész
prize,díj/jutalom
previously,korábban/előzőleg
sports,sport/sportok
wanting,akar
debt,adósság
wishes,kívánságok/kíván
wire,drót/vezeték
thee,téged (régi angol)
circle,kör
approach,megközelítés/közelít
stock,készlet/állomány
facts,tények
remembered,emlékezett
percent,százalék
normally,normálisan/általában
tail,farok/követ
joined,csatlakozott
education,oktatás/nevelés
bravo,bravó/kitűnő
library,könyvtár
rape,nemi erőszak
wings,szárnyak
growling,morog/morajlik
thrown,dobott/hajított
tank,tank/tartály
exhales,kilégzik
authority,hatóság/tekintély
current,jelenlegi/áramlat
failure,kudarc/meghibásodás
nightmare,rémálom
hitting,üt/ütés
glory,dicsőség
knocked,kopogott/leütött
studying,tanul/tanulmányoz
agency,ügynökség/képviselet
apple,alma
border,határ/szegély
rope,kötél
duck,kacsa/lehajol
reputation,hírnév/reputáció
confidence,önbizalom/bizalom
yard,udvar/yard
beloved,szeretett/kedves
lack,hiány/híja
actual,tényleges/valódi
skills,készségek
films,filmek
mental,mentális/elmebeli
salt,só
flesh,hús/test
secure,biztonságos/biztosít
highly,nagyon/magasan
federal,szövetségi
sand,homok
emotional,érzelmi/meghatott
setting,beállítás/környezet
nothin,semmi (köznyelvi)
senator,szenátor
services,szolgáltatások
robbery,rablás
hates,utál/gyűlöl
fed,etetett/szövetségi
reward,jutalom/díj
theater,színház
commit,elkövet/vállal
entirely,teljesen
extraordinary,rendkívüli/különleges
ships,hajók
opposite,ellentétes/szemben
parties,bulik/pártok
stands,áll/állványok
chat,csevegés/cseveg
events,események
mummy,múmia/anyu
bay,öböl
slip,megcsúszik/elszól
disappointed,csalódott
settled,megállapodott/letelepedett
begins,kezdődik
alert,riadó/éber
detail,részlet
pink,rózsaszín
fellas,srácok/fiúk
accepted,elfogadott
background,háttér
garbage,szemét/hulladék
panic,pánik
minds,elmék/elme
belt,öv
blowing,fúj/robbantás
agreement,megállapodás/egyezmény
pushing,tol/nyom
ability,képesség
tiger,tigris
whispering,suttog/súg
culture,kultúra
saint,szent
task,feladat
solid,szilárd/masszív
doll,baba
intend,szándékozik
district,kerület/körzet
pa,apa/pa
gee,ejha/tyű
custody,őrizet/felügyelet
ignore,figyelmen kívül hagy
naturally,természetesen
useful,hasznos
attempt,próbálkozás/kísérlet
abandoned,elhagyott
cutting,vág/vágás
kissed,csókolt
guarantee,garancia/garantál
barking,ugat
gather,összegyűjt/gyűlik
policy,politika/irányelvek
u.s.,USA/Egyesült Államok
violent,erőszakos
maid,szobalány
embarrassing,kínos/zavarba ejtő
childhood,gyermekkor
wasting,pazarol/pusztít
bow,íj/hajol
chick,csaj/csibe
disaster,katasztrófa
revolution,forradalom
online,online
demon,démon
heavily,súlyosan/erősen
coincidence,véletlen/egybeesés
perform,előad/végrehajt
thin,vékony/sovány
terrific,remek/nagyszerű
crown,korona
identity,azonosság/személyazonosság
virgin,szűz
impressive,lenyűgöző
windows,ablakok
no-one,senki
potential,potenciál/lehetőség
guitar,gitár
committee,bizottság
dozen,tucat
delivery,kézbesítés/szállítás
advance,előleg/fejlődés
quietly,csendesen
teaching,tanítás
hunter,vadász
latest,legújabb/legutolsó
hurting,fáj/sért
swing,hinta/lendület
capital,főváros/tőke
counting,számol/számolás
drew,rajzolt
dirt,piszok/föld
whistle,síp/fütty
hits,üt/találatok
deny,tagad
urgent,sürgős
threatened,megfenyegette
behavior,viselkedés/magatartás
mixed,kevert/vegyes
stays,marad
assure,biztosít/megnyugtat
subtitles,feliratok
explanation,magyarázat
wins,nyer/győz
unique,egyedi/egyedülálló
chasing,üldöz/kerget
billion,milliárd
duke,herceg
production,termelés/gyártás
slave,rabszolga
agents,ügynökök
lets,hagy/enged
cruel,kegyetlen
mask,maszk/álarc
behave,viselkedik
bury,eltemet
massive,masszív/hatalmas
pathetic,szánalmas
species,faj/fajta
approaching,közeledik
loan,kölcsön/hitel
struggle,küzdelem/küzd
dish,tál/fogás
trusted,megbízott/megbízható
jumped,ugrott
firing,tüzelés/elbocsátás
channel,csatorna
stopping,megáll/megállít
asks,kérdez
swimming,úszás/úszik
daily,napi/naponta
basement,pince/alagsor
quarter,negyed/negyedóra
erm,ööö/hm
bound,határol/kötött
navy,haditengerészet
article,cikk
guide,útmutató/vezető
accused,vádolt
transfer,áthelyezés/átutazás
guts,belek/bátorság
quality,minőség/színvonal
fella,fickó/srác
greater,nagyobb
damned,átkozott/elkárhozott
couch,kanapé
cheer,éljen/vidám
shoe,cipő
title,cím
shy,félénk/szégyenlős
punishment,büntetés
clicks,kattint/kattanások
closet,szekrény/gardrób
bye-bye,pá-pá/viszlát
fever,láz
coward,gyáva
flash,villan/vaku
impressed,lenyűgözött
siren,sziréna
prisoners,foglyok/rabok
sides,oldalak
bowl,tál
supply,ellátás/készlet
sensitive,érzékeny
hopefully,remélhetőleg
rolling,gurul/gördülés
dollar,dollár
tone,hangnem/tónus
voices,hangok
cheating,csal
confess,bevall/gyón
demand,követel/igény
museum,múzeum
unknown,ismeretlen
drama,dráma
suspicious,gyanús
adult,felnőtt
frightened,megijesztett/megijedt
warned,figyelmeztetett
steady,stabil/egyenletes
kills,öl/megöl
crossed,keresztbe tett/átment
particularly,különösen
sandwich,szendvics
laws,törvények
joint,együttes/ízület
bullets,golyók
package,csomag
trained,képzett/kiképzett
thursday,csütörtök
boots,csizmák
possibility,lehetőség
civil,polgári
baseball,baseball
express,gyors/kifejez
miserable,nyomorult/szánalmas
tuesday,kedd
lion,oroszlán
refused,megtagadta
shine,ragyog/fény
assault,támadás/roham
jokes,viccek/tréfák
breaks,tör/szünetek
argue,vitatkozik/érvel
you-,te- (dadogás)
trail,nyom/ösvény
option,lehetőség/opció
recall,visszahív/emlékszik
mighty,hatalmas/erős
collection,gyűjtemény
accent,akcentus/hangsúly
believes,hisz
decisions,döntések
embarrassed,zavarban van
mobile,mobil/mozgó
customer,vásárló/ügyfél
terribly,borzalmasan/nagyon
sec,másodperc/pillanat
charity,jótékonyság
considering,fontolóra véve
pussy,punci/cica
protecting,véd/védelem
flag,zászló
kidnapped,elrabolt
balance,egyensúly/mérleg
creatures,teremtmények/lények
nuclear,nukleáris/atomi
wallet,pénztárca
shout,kiált/kiabál
entered,belépett
impression,benyomás
degrees,fokozatok/fokkal
favour,szívesség/kedvez
reaction,reakció
network,hálózat
version,verzió/változat
concert,koncert
gear,felszerelés/sebességfokozat
singer,énekes
diamond,gyémánt
defeat,vereség/legyőz
lane,sáv/sikátor
blast,robbanás/robbantás
wounded,sebesült/megsebesített
anytime,bármikor
partners,partnerek/társak
ages,korok/évek
ceremony,ceremónia/szertartás
league,liga
bars,bárok/rácsok
specific,konkrét/specifikus
conditions,feltételek/körülmények
plastic,műanyag/plasztik
crisis,válság/krízis
fifth,ötödik
term,időszak/kifejezés
self,én/önmaga
offering,kínálat/ajánlat
bud,rügy/haver
suffered,szenvedett
reported,jelentette/beszámolt
commissioner,biztos
rip,szakít/hasít
mysterious,titokzatos
entrance,bejárat
messed,elrontott/rendetlenség
tunnel,alagút
designed,tervezett/megtervezett
